,0,1,2,3,4,5,6,7,8,9,10
0,C(PartTimeFullTime),0,0,0,0,0,0,0,0,0,C(PartTimeFullTime)+0+0+0+0+0+0+0+0+0
1,C(Gender),0,0,0,0,0,0,0,0,0,C(Gender)+0+0+0+0+0+0+0+0+0
2,C(Gender),C(PartTimeFullTime),0,0,0,0,0,0,0,0,C(Gender)+C(PartTimeFullTime)+0+0+0+0+0+0+0+0
3,C(MaritalStatus),,0,0,0,0,0,0,0,0,C(MaritalStatus)++0+0+0+0+0+0+0+0
4,C(MaritalStatus),C(PartTimeFullTime),0,0,0,0,0,0,0,0,C(MaritalStatus)+C(PartTimeFullTime)+0+0+0+0+0+0+0+0
5,C(MaritalStatus),C(Gender),0,0,0,0,0,0,0,0,C(MaritalStatus)+C(Gender)+0+0+0+0+0+0+0+0
6,C(MaritalStatus),C(Gender),C(PartTimeFullTime),0,0,0,0,0,0,0,C(MaritalStatus)+C(Gender)+C(PartTimeFullTime)+0+0+0+0+0+0+0
7,DependentChildren,,,0,0,0,0,0,0,0,DependentChildren+++0+0+0+0+0+0+0
8,DependentChildren,C(PartTimeFullTime),,0,0,0,0,0,0,0,DependentChildren+C(PartTimeFullTime)++0+0+0+0+0+0+0
9,DependentChildren,C(Gender),,0,0,0,0,0,0,0,DependentChildren+C(Gender)++0+0+0+0+0+0+0
10,DependentChildren,C(Gender),C(PartTimeFullTime),0,0,0,0,0,0,0,DependentChildren+C(Gender)+C(PartTimeFullTime)+0+0+0+0+0+0+0
11,DependentChildren,C(MaritalStatus),,0,0,0,0,0,0,0,DependentChildren+C(MaritalStatus)++0+0+0+0+0+0+0
12,DependentChildren,C(MaritalStatus),C(PartTimeFullTime),0,0,0,0,0,0,0,DependentChildren+C(MaritalStatus)+C(PartTimeFullTime)+0+0+0+0+0+0+0
13,DependentChildren,C(MaritalStatus),C(Gender),0,0,0,0,0,0,0,DependentChildren+C(MaritalStatus)+C(Gender)+0+0+0+0+0+0+0
14,DependentChildren,C(MaritalStatus),C(Gender),C(PartTimeFullTime),0,0,0,0,0,0,DependentChildren+C(MaritalStatus)+C(Gender)+C(PartTimeFullTime)+0+0+0+0+0+0
15,DependentsOther,,,,0,0,0,0,0,0,DependentsOther++++0+0+0+0+0+0
16,DependentsOther,C(PartTimeFullTime),,,0,0,0,0,0,0,DependentsOther+C(PartTimeFullTime)+++0+0+0+0+0+0
17,DependentsOther,C(Gender),,,0,0,0,0,0,0,DependentsOther+C(Gender)+++0+0+0+0+0+0
18,DependentsOther,C(Gender),C(PartTimeFullTime),,0,0,0,0,0,0,DependentsOther+C(Gender)+C(PartTimeFullTime)++0+0+0+0+0+0
19,DependentsOther,C(MaritalStatus),,,0,0,0,0,0,0,DependentsOther+C(MaritalStatus)+++0+0+0+0+0+0
20,DependentsOther,C(MaritalStatus),C(PartTimeFullTime),,0,0,0,0,0,0,DependentsOther+C(MaritalStatus)+C(PartTimeFullTime)++0+0+0+0+0+0
21,DependentsOther,C(MaritalStatus),C(Gender),,0,0,0,0,0,0,DependentsOther+C(MaritalStatus)+C(Gender)++0+0+0+0+0+0
22,DependentsOther,C(MaritalStatus),C(Gender),C(PartTimeFullTime),0,0,0,0,0,0,DependentsOther+C(MaritalStatus)+C(Gender)+C(PartTimeFullTime)+0+0+0+0+0+0
23,DependentsOther,DependentChildren,,,0,0,0,0,0,0,DependentsOther+DependentChildren+++0+0+0+0+0+0
24,DependentsOther,DependentChildren,C(PartTimeFullTime),,0,0,0,0,0,0,DependentsOther+DependentChildren+C(PartTimeFullTime)++0+0+0+0+0+0
25,DependentsOther,DependentChildren,C(Gender),,0,0,0,0,0,0,DependentsOther+DependentChildren+C(Gender)++0+0+0+0+0+0
